id,name,display_name,description,category,is_system_permission,created_at,updated_at,operation
0a205466-1938-4050-bbe9-d14a2a637fcc,visitor_update,"Manage Visitors","Update, delete visitor logs",visitors,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
17e31a93-2b2d-425c-bfff-0ab80639a5b5,complaint_delete,"Delete Complaints","Delete complaints",complaints,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
1b3df1e8-a142-4135-a492-05d6345b0648,manage_owners,"Manage Owners","Create and manage owners",system,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
294b14ca-afe2-44a3-b27c-966165861c9b,staff_delete,"Delete Staff","Delete staff members",staff,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
324330b7-d3ee-43b7-8501-d8de09245d30,room_allocate,"Allocate Rooms","Assign rooms to students",rooms,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
3349861a-9e70-4e0a-852d-47f89382e905,view_profile,"View Profile","View own profile information",profile,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
4141c8fe-ee0f-44e7-8b14-4969aef81625,manage_hostel_settings,"Manage Hostel Settings","Update hostel settings, subdomain, etc.",hostel,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
42cd9a1a-265f-4d22-b6f9-50f4c0d04f41,visitor_create,"Create Visitors","Create visitor logs",visitors,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
536b2ff9-add3-43d5-8c6a-44c03a1d424e,complaint_read,"View Complaints","View complaint details",complaints,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
55fa7daa-958d-4a11-a120-a5b57c5b8fff,staff_status_toggle,"Toggle Staff Status","Activate/deactivate staff members",staff,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
5be5d09f-3374-48cc-a9db-d9b28fb8b3d0,hostel_update,"Manage Hostel","Create, update, and delete hostel information",hostel,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
5d350ba2-09b4-4981-a8b5-0c4d345101c7,view_billing,"View Billing","View billing information",reports,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
63428f53-8ec5-4b72-a77d-345eba0a792e,manage_profile,"Manage Profile","Update own profile information",profile,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
63ee970d-0aab-4109-8f46-932f7866a7ea,room_deallocate,"Deallocate Rooms","Remove room assignments",rooms,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
6b474db8-c97d-4efe-9874-83dae5756089,room_read,"View Rooms","View room information and availability",rooms,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
6c59e264-5c02-47f2-9764-2271bdc7e88d,manage_billing,"Manage Billing","Manage billing and payments",system,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
6cf8f742-f488-41b4-8cdd-18728629d571,visitor_checkout,"Checkout Visitors","Check out visitors",visitors,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
6ebbde9b-a8b2-4265-a6e0-240a1b886827,view_visitor_stats,"View Visitor Stats","View visitor analytics",visitors,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
730e23f5-a042-4202-8f06-d4fdb2273350,export_student_data,"Export Student Data","Export student information",students,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
74a5ce0a-6b44-413f-a263-4adfefffc6dd,view_reports,"View Reports","View various reports",reports,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
752675c0-963f-441c-a6ff-927c00832fa6,student_read,"View Students","View student information and records",students,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
81c0b260-ee82-49ce-88fe-c2a062552023,view_hostel_stats,"View Hostel Stats","View hostel statistics and analytics",hostel,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
8926beb6-6bfd-4885-9320-ff430f408c70,complaint_create,"Create Complaints","Create new complaints",complaints,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
